dataset,algorithm,r2_test,mse_test,symbolic_solution
feynman_III_13_18,FFX,0.9647845916922848,10770.123109001031,False
feynman_III_13_18,FFX,0.96392571812223,11704.651239841463,False
feynman_III_13_18,FFX,0.962928775820014,11190.434565011425,False
feynman_III_13_18,FFX,0.96134563260115,12189.210362531016,False
feynman_III_13_18,FFX,0.9630012650851398,11260.708387715642,False
feynman_III_13_18,FFX,0.9628782309829949,11343.560556387358,False
feynman_III_13_18,FFX,0.9640022440196816,11391.366300210466,False
feynman_III_13_18,FFX,0.96366974712984,11044.879364381062,False
feynman_III_13_18,GP-GOMEA,1.0,7.95845696928132e-26,False
feynman_III_13_18,GP-GOMEA,1.0,1.4854545445669142e-22,True
feynman_III_13_18,GP-GOMEA,1.0,6.833704233201442e-26,False
feynman_III_13_18,GP-GOMEA,1.0,2.395513354876217e-20,True
feynman_III_13_18,GP-GOMEA,1.0,7.074854113890145e-26,False
feynman_III_13_18,GP-GOMEA,1.0,7.29913098320162e-26,True
feynman_III_13_18,GP-GOMEA,0.9999999999999994,1.7794827503570847e-10,False
feynman_III_13_18,GP-GOMEA,1.0,4.091496172420224e-25,True
feynman_III_13_18,ITEA,0.9845856271279476,4860.745271167643,False
feynman_III_13_18,ITEA,0.9845046512114112,4735.022925367135,False
feynman_III_13_18,ITEA,0.98405425711376,4876.774747253374,False
feynman_III_13_18,ITEA,0.9838697050512112,4909.317792733517,False
feynman_III_13_18,ITEA,0.9842254601062852,4795.669624909232,False
feynman_III_13_18,ITEA,0.9851415086576572,4701.918576304428,False
feynman_III_13_18,ITEA,0.984481188631388,5035.229123671758,False
feynman_III_13_18,ITEA,0.9839525846618704,4844.122503401208,False
feynman_III_13_18,MRGP,0.9996762466065616,105.04493397125668,False
feynman_III_13_18,MRGP,0.999956707518815,13.229188558674355,False
feynman_III_13_18,MRGP,0.9999607003810724,12.01921983374289,False
feynman_III_13_18,MRGP,0.9999484100463646,16.26829876599487,False
feynman_III_13_18,MRGP,0.9999519128145852,14.635521278949536,False
feynman_III_13_18,MRGP,0.9999590661039433,12.44444803283242,False
feynman_III_13_18,MRGP,0.9999026240287688,29.394212313487003,False
feynman_III_13_18,MRGP,0.9999543682317704,14.440016403095496,False
feynman_III_13_18,Operon,0.999999999999968,9.761329576723241e-09,False
feynman_III_13_18,Operon,0.9999999999999676,1.0559522544857124e-08,True
feynman_III_13_18,Operon,0.99999999999968,9.779251142344064e-08,False
feynman_III_13_18,Operon,0.999999970843552,0.0089740401774393,False
feynman_III_13_18,Operon,0.9999999999999716,8.620066634701448e-09,False
feynman_III_13_18,Operon,0.9999999999999728,8.546058094885716e-09,True
feynman_III_13_18,Operon,0.9999999999999766,7.136617911677657e-09,True
feynman_III_13_18,Operon,0.9999999901340204,0.0029516327343207,False
feynman_III_13_18,Operon,0.9999999797811304,0.0061468049081186,False
feynman_III_13_18,Operon,0.999999999999967,1.0445025603140266e-08,False
feynman_III_13_18,SBP-GP,0.9999886578311292,3.4688382424945328,False
feynman_III_13_18,SBP-GP,0.9998704281136156,40.85900472543899,False
feynman_III_13_18,SBP-GP,0.9995514314472048,145.5424250832328,False
feynman_III_13_18,SBP-GP,0.9999206067929242,24.2607417717102,False
feynman_III_13_18,SBP-GP,1.0,2.9142569263224166e-11,False
feynman_III_13_18,SBP-GP,0.9999999999999896,3.127038223581519e-09,False
feynman_III_13_18,SBP-GP,1.0,1.541349199962077e-20,False
feynman_III_13_18,SBP-GP,0.9997941576417576,65.13810761201613,False
